recipe_id,title,steps
25108843,紅莧菜煎蛋,紅莧菜切去根部，再將粗纖維去除，用清水洗淨，瀝乾水份。煮一鍋沸水，紅莧菜川燙3分鐘，撈起泡冰水，盡量擠乾水份，再將紅莧菜切碎，放入碗中。雞蛋打入碗中，加入白胡椒粉和烏醋，攪拌均勻。蝦皮泡水洗淨瀝乾。麵粉+少許水調勻，然後倒入蛋液和蝦皮，再度攪拌均勻。將紅莧菜倒入雞蛋液中，再加入鹽調味，繼續攪拌均勻。8熱油鍋，把攪拌均勻的紅莧菜蛋液放入鍋中，將中間的紅莧菜撥至旁邊，外圍的蛋液凝固，一面煎至金黃色，翻面再煎另一面繼續煎，煎至兩面金黃色，完成，即可盛盤享用。
25077235,金針菇炒蛋,1金針菇去掉根部，洗淨後撕散2雞蛋打入碗中，加少許醬鹽和米酒，打散備用3熱鍋後下麻油，放蒜末炒香4下金針菇大火快炒至稍微變軟5將蛋液倒入鍋中，等邊緣稍凝固後，用鍋鏟推炒，讓蛋與金針菇均勻混合6加入白胡椒粉、黑豆醬油，翻炒至蛋熟成滑嫩即可 如果有蔥的話，起鍋前撒蔥花增加香氣、顏色
25053078,金沙蝦球蛋,1鹹蛋黃＆鹹蛋白分開，雞蛋加鹽巴拌勻，油鍋先炒蛋8分熟後盛出備用2原鍋補點油炒香蒜末＆蝦仁後盛出備用，原鍋加入油＆鹹蛋黃炒至起泡沫，香氣四溢3加入鹹蛋白，蔥花炒香後加入炒蛋＆蝦仁一起拌勻，撒點胡椒鹽炒香即可！
25130080,松露醬板豆腐炒蛋(簡單料理）,將板豆腐切成小塊，再用廚房紙巾將豆腐擦乾水份。油鍋放入蛋液，把蛋炒散備用。油鍋放入板豆腐，中小火煎到二面微焦。再放入炒好的蛋、水1小杯、松露醬油。大火拌炒一下，煨煮約2分鐘讓豆腐入味。最後放入蔥花美味好料上桌了~煎豆腐使用不沾鍋烹調可以減少用油量，也更容易煎出漂亮的色澤。煎豆腐時要用紙巾吸乾水份，避免下鍋時油爆，使用中小火，不要急著翻動，耐心等待一面煎至金黃後再翻面，可避免豆腐散掉。
25141788,蒜香絲瓜炒蛋,絲瓜1條（約300g）水 50ml（可依情況調整）1絲瓜削皮後切厚片，再切成圓形小塊。2雞蛋打散，熱鍋加油，蛋液倒入煎至定型且表面微焦香，盛出備用。3蒜頭用刀拍扁後切碎，放入鍋中用剩油炒香。4加入水與絲瓜，水量不要太多，絲瓜本身會出水，確保不會燒焦。5絲瓜炒軟後，加入鹽和雞精粉調味，最後放回蛋炒勻即可。
25018859,皮蛋炒地瓜葉 / 家常熱炒,1地瓜葉洗淨，剪掉粗梗，再折剝去葉梗外層較粗糙的纖維，摘折食指長段，皮蛋洗淨剝殼後切塊，蒜瓣洗淨切掉蒂頭拍碎剝膜切粗末，辣椒洗淨去籽切末。2鍋加油中小火先爆香蒜末加皮蛋塊，翻炒至有香氣。3蒜末跟皮蛋炒香後再加100cc水，煮出皮蛋的滋味，這是這道菜經典滋味步驟。4再把地瓜葉放進鍋中快速翻炒，炒至菜葉變深綠菜梗變透，把辣椒末加進來，可以依個人口味加點鹽提味，我吃很清淡皮蛋煮滾的湯汁已有味道沒再加鹽。5簡單好吃，平價的地瓜葉變身不凡，可以試試。
25151521,皮蛋肉燥,1洋蔥切丁，皮蛋切小塊備用。2熱鍋加油，炒香洋蔥丁。4加入豆瓣醬、適量水轉小火讓醬汁入味。5加皮蛋拌炒均勻，視口味加醬油調味即可。?在家也能做?---酥炸地瓜球＆酥炸芋圓
25096649,蒸蛋,1雞蛋打散，加入高湯攪拌均勻。2用篩網過濾蛋液，去除氣泡與雜質。3將蛋液倒入容器，灑上一點柴魚片4放入大白蒸氣烤箱，選擇蒸氣模式100度，蒸20分鐘。
25173573,半熟蛋祚辣椒醬,1簡單2顆荷包蛋，熟度依個人喜好。2取適量的辣椒醬，放置盤中，或是沾著吃。
25013410,簡單早餐 肉蛋吐司,1冷凍火鍋肉片是方便的懶人肉品應援，烹煮前一餐夾10片火鍋肉片放在密封盒放冷藏低溫解凍，烹煮前用醃料醃漬後放冷藏靜置20分鐘。雞蛋買回來之後先不要洗，避免雞蛋被污染，烹煮前再洗。2先煎蛋，鍋中小火加2小匙油，將雞蛋打入鍋中，煎至蛋白邊緣金黃這樣的雞蛋香又好吃。雞蛋洗鍋前推至鍋邊，將鍋傾斜架在爐具上瀝油。3用煎蛋的原鍋原油維持小火，放豬肉片到鍋中煎至變色，用料理長筷幫豬肉片一一翻面煎到肉熟，肉片先夾出。4用煎肉的原鍋及鍋中的肉汁，加水煮滾放洗淨的青菜汆燙，這樣燙青菜不用再加鹽跟油，不會攝取過多的鹽油。
